# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	1352	+	GCF_964030635_00001	dnaA	(5' truncated) chromosomal replication initiator protein DnaA	GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_P34028, UniRef:UniRef90_P34028
contig_1	cds	382323	382790	-	GCF_964030635_00471		(pseudo) Phage protein	SO:0001217, UniRef:UniRef50_A0AAI9T4X2, UniRef:UniRef50_UPI0030D5653F, UniRef:UniRef90_UPI0030CB4F68, UniRef:UniRef90_UPI0030D53007
contig_1	cds	382793	382939	-	GCF_964030635_00472		hypothetical protein	SO:0001217, UniRef:UniRef50_Q14MU4
contig_1	cds	382932	383222	-	GCF_964030635_00473		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FGE5, UniRef:UniRef90_UPI0030D1B4AB
contig_1	cds	383413	383697	-	GCF_964030635_00474		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGU8, UniRef:UniRef90_A0A2P6FFS2
contig_1	cds	384246	384485	-	GCF_964030635_00475		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHV7, UniRef:UniRef90_UPI0030D22F9C
contig_1	cds	384717	384953	+	GCF_964030635_00476		hypothetical protein	
contig_1	cds	385107	385493	+	GCF_964030635_00477		transposase	SO:0001217, UniRef:UniRef50_UPI001C0573B8
contig_1	cds	385646	385960	+	GCF_964030635_00478		DUF370 domain-containing protein	SO:0001217, UniRef:UniRef50_Q14PX9, UniRef:UniRef90_UPI0030D2BE87
contig_1	cds	385970	386767	-	GCF_964030635_00479		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	386827	387090	-	GCF_964030635_00480		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	387278	387565	+	GCF_964030635_00481		HU family DNA-binding protein	SO:0001217, UniRef:UniRef50_Q14MP3, UniRef:UniRef90_UPI0030CCFF24
contig_1	cds	387973	388146	+	GCF_964030635_00482		hypothetical protein	
contig_1	cds	388948	389319	-	GCF_964030635_00483		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FCQ3
contig_1	cds	389382	389729	-	GCF_964030635_00484		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_C0Z4G8
contig_1	cds	389787	390050	+	GCF_964030635_00485		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	390410	390625	-	GCF_964030635_00486		transposase	SO:0001217, UniRef:UniRef50_UPI0035C8E137, UniRef:UniRef90_UPI0035C8E137
contig_1	cds	390902	391360	-	GCF_964030635_00487		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030CF4DCE, UniRef:UniRef90_UPI0030CCA2EC
contig_1	cds	391418	391993	+	GCF_964030635_00488		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	392256	393410	+	GCF_964030635_00489		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A1J0U1J6, UniRef:UniRef90_UPI0030D08524
contig_1	cds	393886	394008	+	GCF_964030635_00490		(pseudo) helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00313A9851, UniRef:UniRef90_UPI0030CC18A7
contig_1	cds	394621	394836	+	GCF_964030635_00491		transposase	SO:0001217, UniRef:UniRef50_UPI0035C8E137, UniRef:UniRef90_UPI0035C8E137
contig_1	cds	394987	395127	+	GCF_964030635_00492		hypothetical protein	
contig_1	cds	395412	395651	+	GCF_964030635_00493		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NQ29
contig_1	cds	395722	396345	-	GCF_964030635_00494		Uncharacterized protein in tsf 3'region	SO:0001217, UniRef:UniRef50_P20633, UniRef:UniRef90_UPI0030CEF5D3
contig_1	cds	396377	397267	-	GCF_964030635_00495	tsf	translation elongation factor Ts	GO:0003746, GO:0006414, SO:0001217, UniRef:UniRef50_Q6F0Q5, UniRef:UniRef90_UPI0030D0D250
contig_1	cds	397399	398439	-	GCF_964030635_00496	rpsB	30S ribosomal protein S2	GO:0003735, GO:0006412, GO:0015935, KEGG:K02967, SO:0001217, UniRef:UniRef50_P19679, UniRef:UniRef90_UPI0030D523E8
contig_1	cds	398802	399185	+	GCF_964030635_00497		IS1 family transposase	SO:0001217, UniRef:UniRef50_UPI00313C3864, UniRef:UniRef90_UPI00313C9D2D
contig_1	cds	399147	399938	-	GCF_964030635_00498		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A9W5PXP5
contig_1	cds	399957	400256	-	GCF_964030635_00499		hypothetical protein	PFAM:PF13384.12, PFAM:PF13518.12
contig_1	cds	400668	400973	+	GCF_964030635_00500		Transposase	SO:0001217, UniRef:UniRef50_A0A432ZVT8
contig_1	cds	401114	403531	-	GCF_964030635_00501	leuS	leucine--tRNA ligase	EC:6.1.1.4, GO:0000166, GO:0004823, GO:0005524, GO:0006429, KEGG:K01869, SO:0001217, UniRef:UniRef50_Q6MSR0, UniRef:UniRef90_UPI0030D58694
contig_1	cds	403788	404003	-	GCF_964030635_00502		hypothetical protein	
contig_1	cds	403957	404106	-	GCF_964030635_00503		(pseudo) transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D3635F
contig_1	cds	404844	406382	+	GCF_964030635_00504	fib	cytoskeletal motor fibril protein Fib	COG:COG0775, COG:FH, GO:0005829, GO:0005856, GO:0008782, GO:0008930, GO:0009116, GO:0019284, SO:0001217, UniRef:UniRef50_P27711, UniRef:UniRef90_P27711
contig_1	cds	406535	406798	+	GCF_964030635_00505		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	406972	407655	+	GCF_964030635_00506		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	407826	408335	-	GCF_964030635_00507		IS1 family transposase	SO:0001217, UniRef:UniRef50_UPI00313CED35
contig_1	cds	408563	408835	+	GCF_964030635_00508		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JFE2
contig_1	cds	408845	409156	-	GCF_964030635_00509		integrase core domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0030D1AB8C, UniRef:UniRef90_UPI0030D1AB8C
contig_1	cds	409176	410126	-	GCF_964030635_00510		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	410326	410979	-	GCF_964030635_00511		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NUI8
contig_1	cds	411391	411603	-	GCF_964030635_00512		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NUN1
contig_1	cds	412088	412288	+	GCF_964030635_00513		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHV7, UniRef:UniRef90_UPI0030D22F9C
contig_1	cds	412927	413109	-	GCF_964030635_00514		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2K8NYQ1, UniRef:UniRef90_UPI0030CAC077
contig_1	cds	413257	413520	+	GCF_964030635_00515		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	413781	414368	+	GCF_964030635_00516		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	414388	414561	-	GCF_964030635_00517		p58	SO:0001217, UniRef:UniRef50_A0A0K2JGV8, UniRef:UniRef90_UPI0013922EB6
contig_1	cds	414554	414952	-	GCF_964030635_00518		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGV9, UniRef:UniRef90_A0A3S0SLQ9
contig_1	cds	415246	415419	+	GCF_964030635_00519		(pseudo) Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A432ZV77, UniRef:UniRef90_UPI0030D00D85
contig_1	cds	415783	416226	+	GCF_964030635_00520		Transposase of is30 family n-terminal truncated protein	SO:0001217, UniRef:UniRef50_Q14KY9
contig_1	cds	417048	418838	-	GCF_964030635_00521		1-deoxy-D-xylulose-5-phosphate synthase	EC:2.2.1.7, GO:0008661, GO:0016114, KEGG:K01662, SO:0001217, UniRef:UniRef50_R4U3M1, UniRef:UniRef90_UPI0030D202BD
contig_1	cds	418852	419526	-	GCF_964030635_00522		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHE5, UniRef:UniRef90_UPI0030D508F6
contig_1	cds	419533	419754	-	GCF_964030635_00523	xseB	exodeoxyribonuclease VII small subunit	EC:3.1.11.6, GO:0006308, GO:0008855, GO:0009318, SO:0001217, UniRef:UniRef50_R4UJ66, UniRef:UniRef90_UPI0030CB798E
contig_1	cds	419744	421036	-	GCF_964030635_00524	xseA	exodeoxyribonuclease VII large subunit	EC:3.1.11.6, GO:0006308, GO:0008855, GO:0009318, KEGG:K03601, SO:0001217, UniRef:UniRef50_R4ULT1, UniRef:UniRef90_UPI0030D39F5F
contig_1	cds	421467	422063	-	GCF_964030635_00525		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	422324	422587	-	GCF_964030635_00526		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	423282	424046	+	GCF_964030635_00527		type III pantothenate kinase	EC:2.7.1.33, KEGG:K03525, SO:0001217, UniRef:UniRef50_R4U6H7, UniRef:UniRef90_UPI0030D2E99D
contig_1	cds	424148	424681	-	GCF_964030635_00528		hypothetical protein	
contig_1	cds	424739	425689	+	GCF_964030635_00529		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	425709	426011	+	GCF_964030635_00530		integrase core domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0030D1AB8C, UniRef:UniRef90_UPI0030D1AB8C
contig_1	cds	426047	426160	-	GCF_964030635_00531		hypothetical protein	
contig_1	cds	426294	426473	-	GCF_964030635_00532		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHY1, UniRef:UniRef90_UPI0030CE4450
contig_1	cds	426483	426902	-	GCF_964030635_00533		hypothetical protein	
contig_1	cds	427003	427476	-	GCF_964030635_00534		dual specificity protein phosphatase	SO:0001217, UniRef:UniRef50_W6A993, UniRef:UniRef90_UPI0030D291AE
contig_1	cds	427479	428405	-	GCF_964030635_00535		deoxyribonuclease IV	EC:3.1.21.2, GO:0003677, GO:0006281, GO:0008270, SO:0001217, UniRef:UniRef50_W0GR60, UniRef:UniRef90_UPI0030CD3609
contig_1	cds	428713	428865	+	GCF_964030635_00536		hypothetical protein	
contig_1	cds	428875	429471	-	GCF_964030635_00537		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	429732	429995	-	GCF_964030635_00538		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	430252	430464	+	GCF_964030635_00539		hypothetical protein	
contig_1	cds	430470	431399	+	GCF_964030635_00540		hypothetical protein	
contig_1	cds	431753	432904	+	GCF_964030635_00541	metK	methionine adenosyltransferase	EC:2.5.1.6, GO:0004478, GO:0005524, GO:0006556, KEGG:K00789, SO:0001217, UniRef:UniRef50_P72871, UniRef:UniRef90_A0A0K2JIK6
contig_1	cds	433238	433417	-	GCF_964030635_00542		hypothetical protein	
contig_1	cds	433424	433723	-	GCF_964030635_00543		hypothetical protein	
contig_1	cds	433983	434333	+	GCF_964030635_00544		hypothetical protein	
contig_1	cds	434423	434545	+	GCF_964030635_00545		helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_UPI00313DE3B3, UniRef:UniRef90_UPI00313DE3B3
contig_1	cds	435158	435373	+	GCF_964030635_00546		transposase	SO:0001217, UniRef:UniRef50_UPI0035C8E137, UniRef:UniRef90_UPI0035C8E137
contig_1	cds	435357	435641	-	GCF_964030635_00547		hypothetical protein	
contig_1	cds	435786	436124	+	GCF_964030635_00548		Asp23/Gls24 family envelope stress response protein	SO:0001217, UniRef:UniRef50_R4UEP0, UniRef:UniRef90_A0A0K2JFV4
contig_1	cds	436394	438013	+	GCF_964030635_00549	dhaL	DhaL domain-containing protein	SO:0001217, UniRef:UniRef50_A0A654INU3, UniRef:UniRef90_A0AAI9T388
contig_1	cds	438062	438274	-	GCF_964030635_00550		hypothetical protein	
contig_1	cds	438833	439279	-	GCF_964030635_00551		hypothetical protein	PFAM:PF13518.12
contig_1	cds	439708	439947	-	GCF_964030635_00552		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NQ29
contig_1	cds	440090	440986	-	GCF_964030635_00553		hypothetical protein	
contig_1	cds	441152	441457	+	GCF_964030635_00554		Transposase	SO:0001217, UniRef:UniRef50_A0A432ZVT8
contig_1	cds	441634	441783	+	GCF_964030635_00555	rpmG	50S ribosomal protein L33	GO:0003735, GO:0005840, GO:0006412, SO:0001217, UniRef:UniRef50_Q2FYU6, UniRef:UniRef90_A0A3S0REG2
contig_1	cds	441793	442230	+	GCF_964030635_00556	secE	Preprotein translocase subunit SecE	SO:0001217, UniRef:UniRef50_R4UHD0
contig_1	cds	442264	442920	+	GCF_964030635_00557	nusG	transcription termination/antitermination protein NusG	GO:0006355, KEGG:K02601, SO:0001217, UniRef:UniRef50_A0A1J0TZM3, UniRef:UniRef90_UPI0030CD32BD
contig_1	cds	444157	444543	+	GCF_964030635_00558		(pseudo) transposase	SO:0001217, UniRef:UniRef50_UPI001C0573B8, UniRef:UniRef50_UPI00313D9097, UniRef:UniRef90_UPI00313AB213
contig_1	cds	444747	446654	-	GCF_964030635_00559		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_W6AMW2
contig_1	cds	446886	447482	-	GCF_964030635_00560		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	447743	448006	-	GCF_964030635_00561		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	448076	448318	-	GCF_964030635_00562		(pseudo) transposase	SO:0001217, UniRef:UniRef50_UPI001C0573B8, UniRef:UniRef50_UPI00313D0583, UniRef:UniRef90_UPI00313AB213
contig_1	cds	448822	449772	-	GCF_964030635_00563		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	449852	449977	-	GCF_964030635_00564		hypothetical protein	
contig_1	cds	450132	451508	+	GCF_964030635_00565	eno	phosphopyruvate hydratase	EC:4.2.1.11, GO:0000015, GO:0000287, GO:0004634, GO:0006096, SO:0001217, UniRef:UniRef50_P75189, UniRef:UniRef90_A0A0K2JFZ6
contig_1	cds	451766	451972	+	GCF_964030635_00566		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00313B6C42
contig_1	cds	452015	452965	-	GCF_964030635_00567		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	453143	453439	-	GCF_964030635_00568	insA	InsA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NPX2
contig_1	cds	453732	453995	+	GCF_964030635_00569		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	454169	454852	+	GCF_964030635_00570		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	455026	455364	+	GCF_964030635_00571	rbfA	30S ribosome-binding factor RbfA	GO:0006364, KEGG:K02834, SO:0001217, UniRef:UniRef50_R4UJB2, UniRef:UniRef90_UPI0030D4FA9C
contig_1	cds	455434	455751	-	GCF_964030635_00572		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI00313ABA5D, UniRef:UniRef90_UPI0030CC7C84
contig_1	cds	456032	456271	+	GCF_964030635_00573		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHV7
contig_1	cds	456814	457095	+	GCF_964030635_00574		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGU8, UniRef:UniRef90_A0A2P6FFS2
contig_1	cds	457105	457272	+	GCF_964030635_00575		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHY1, UniRef:UniRef90_UPI0030CE4450
contig_1	cds	457286	457576	+	GCF_964030635_00576		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FGE5, UniRef:UniRef90_UPI0030D1B4AB
contig_1	cds	457569	457709	+	GCF_964030635_00577		hypothetical protein	SO:0001217, UniRef:UniRef50_Q14MU4
contig_1	cds	457718	458494	+	GCF_964030635_00578		Phage protein	SO:0001217, UniRef:UniRef50_A0AAI9T4X2, UniRef:UniRef90_UPI0030D53007
contig_1	cds	458497	458769	+	GCF_964030635_00579		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NR39
contig_1	cds	458797	458940	-	GCF_964030635_00580		hypothetical protein	
contig_1	cds	459333	460202	+	GCF_964030635_00581	thyA	thymidylate synthase	EC:2.1.1.45, GO:0004799, GO:0006231, KEGG:K00560, SO:0001217, UniRef:UniRef50_B1C3H3, UniRef:UniRef90_UPI0030D167D6
contig_1	cds	460202	460684	+	GCF_964030635_00582		dihydrofolate reductase	EC:1.5.1.3, KEGG:K00287, SO:0001217, UniRef:UniRef50_R4U3I3, UniRef:UniRef90_UPI0030D1C201
contig_1	cds	460686	461477	+	GCF_964030635_00583		1-acyl-sn-glycerol-3-phosphate acyltransferase	SO:0001217, UniRef:UniRef50_R4U5T7
contig_1	cds	461597	462028	+	GCF_964030635_00584		hypothetical protein	PFAM:PF13518.12
contig_1	cds	462067	462336	-	GCF_964030635_00585		hypothetical protein	
contig_1	cds	462623	462886	+	GCF_964030635_00586		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	463150	463746	+	GCF_964030635_00587		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	463756	464757	-	GCF_964030635_00588		hypothetical protein	
contig_1	cds	464922	465926	+	GCF_964030635_00589	plsX	phosphate acyltransferase PlsX	EC:2.3.1.274, GO:0008610, GO:0043811, KEGG:K03621, SO:0001217, UniRef:UniRef50_W0GPT5, UniRef:UniRef90_UPI0030D21188
contig_1	cds	465934	466680	+	GCF_964030635_00590	rnc	ribonuclease III	EC:3.1.26.3, GO:0003723, GO:0004525, GO:0006364, GO:0006396, SO:0001217, UniRef:UniRef50_Q53844, UniRef:UniRef90_UPI0030CF1046
contig_1	cds	466982	467278	+	GCF_964030635_00591	insA	InsA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NPX2
contig_1	cds	467677	468528	+	GCF_964030635_00592		hypothetical protein	
contig_1	cds	468669	468959	+	GCF_964030635_00593		IS1 family transposase	SO:0001217, UniRef:UniRef50_A0A2S8NPX2, UniRef:UniRef90_UPI00313D9A92
contig_1	cds	468987	469193	+	GCF_964030635_00594		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00313B6C42
contig_1	cds	469246	469608	-	GCF_964030635_00595		(pseudo) M42 glutamyl aminopeptidase	SO:0001217, UniRef:UniRef50_UPI001F4DDB5B, UniRef:UniRef90_UPI001F4DDB5B
contig_1	cds	470078	470254	+	GCF_964030635_00596		hypothetical protein	
contig_1	cds	470287	470520	+	GCF_964030635_00597		hypothetical protein	
contig_1	cds	470581	470928	+	GCF_964030635_00598	degV	(pseudo) DegV family protein	SO:0001217, UniRef:UniRef50_W0GMM1, UniRef:UniRef90_A0A0K2JI99
contig_1	cds	470944	471801	+	GCF_964030635_00599	degV	DegV family protein	SO:0001217, UniRef:UniRef50_W0GQQ3, UniRef:UniRef90_UPI0030CCB44E
contig_1	tRNA	471859	471951	-	GCF_964030635_00600	trnS	tRNA-Ser(cga)	SO:0000269
contig_1	tRNA	471962	472039	-	GCF_964030635_00601		(pseudo) tRNA-Xxx	
contig_1	cds	472289	472717	-	GCF_964030635_00602		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030D2D128, UniRef:UniRef90_UPI0030D2D128
contig_1	cds	472811	473026	-	GCF_964030635_00603		transposase	SO:0001217, UniRef:UniRef50_UPI0035C8E137, UniRef:UniRef90_UPI0035C8E137
contig_1	cds	473730	473993	+	GCF_964030635_00604		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	474257	474844	+	GCF_964030635_00605		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	475556	475732	+	GCF_964030635_00606	rpmF	50S ribosomal protein L32	GO:0003735, GO:0006412, GO:0015934, SO:0001217, UniRef:UniRef50_W8GFE4, UniRef:UniRef90_A0A0K2JGJ8
contig_1	cds	475843	476106	+	GCF_964030635_00607		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	476367	476963	+	GCF_964030635_00608		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	476983	477429	-	GCF_964030635_00609		hypothetical protein	PFAM:PF13518.12
contig_1	tRNA	477712	477796	+	GCF_964030635_00610	trnL	tRNA-Leu(caa)	SO:0000264
contig_1	cds	477883	478833	-	GCF_964030635_00611		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	479000	479683	+	GCF_964030635_00612		hypothetical protein	PFAM:PF04218.19, PFAM:PF13276.12, PFAM:PF13384.12, PFAM:PF13518.12
contig_1	cds	480005	480217	+	GCF_964030635_00613		hypothetical protein	
contig_1	cds	480265	480873	-	GCF_964030635_00614		thiamine diphosphokinase	EC:2.7.6.2, GO:0004788, GO:0006772, KEGG:K00949, SO:0001217, UniRef:UniRef50_A0A0K2JFF4, UniRef:UniRef90_UPI0030D08729
contig_1	cds	480860	481543	-	GCF_964030635_00615	rpe	ribulose-phosphate 3-epimerase	EC:5.1.3.1, GO:0004750, GO:0006098, KEGG:K01783, SO:0001217, UniRef:UniRef50_A0A2S8NQS2, UniRef:UniRef90_UPI0030D42D2A
contig_1	cds	481721	482224	-	GCF_964030635_00616	rsgA	(pseudo) ribosome small subunit-dependent GTPase A	EC:3.1.3.100, EC:3.6.1.-, GO:0003924, GO:0005525, GO:0006412, GO:0043022, KEGG:K06949, SO:0001217, UniRef:UniRef50_R4UEP6, UniRef:UniRef90_UPI0030CB19DA
contig_1	cds	482335	482673	-	GCF_964030635_00617		hypothetical protein	PFAM:PF03193.22, PFAM:PF16745.11
contig_1	cds	482835	483176	-	GCF_964030635_00618		hypothetical protein	PFAM:PF00069.31, PFAM:PF07714.23
contig_1	cds	483288	483545	-	GCF_964030635_00619		hypothetical protein	PFAM:PF00069.31, PFAM:PF07714.23
contig_1	cds	483924	484226	-	GCF_964030635_00620		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_A0AAJ4TWV0
contig_1	cds	484207	484890	-	GCF_964030635_00621		hypothetical protein	PFAM:PF13276.12, PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13551.12
contig_1	cds	485028	485789	-	GCF_964030635_00622		Serine/threonine phosphatase stp	EC:3.1.3.16, KEGG:K20074, SO:0001217, UniRef:UniRef50_A0A0L1IJC0, UniRef:UniRef90_A0A2P6FF27
contig_1	cds	486078	486467	-	GCF_964030635_00623		hypothetical protein	
contig_1	cds	486621	486938	-	GCF_964030635_00624		hypothetical protein	
contig_1	cds	486941	487900	-	GCF_964030635_00625	holA	DNA polymerase III subunit delta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, SO:0001217, UniRef:UniRef50_Q14PY2, UniRef:UniRef90_UPI0030CAD728
contig_1	cds	488087	488605	+	GCF_964030635_00626		hypothetical protein	
contig_1	cds	488611	489534	+	GCF_964030635_00627		hypothetical protein	
contig_1	cds	489644	489985	+	GCF_964030635_00628		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NSX3
contig_1	cds	489992	490540	+	GCF_964030635_00629		hypothetical protein	
contig_1	cds	490683	490922	+	GCF_964030635_00630		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NQ29
contig_1	cds	491816	493315	+	GCF_964030635_00631		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A0H3XJ03, UniRef:UniRef90_UPI0030CF515F
contig_1	cds	493853	494803	+	GCF_964030635_00632		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	494888	495340	+	GCF_964030635_00633		Tc1-like transposase DDE domain-containing protein	SO:0001217, UniRef:UniRef50_W0GKL4
contig_1	cds	495315	495719	+	GCF_964030635_00634	pilZ	PilZ domain-containing protein	SO:0001217, UniRef:UniRef50_W0GQI2
contig_1	cds	495731	496189	+	GCF_964030635_00635		Phage protein	SO:0001217, UniRef:UniRef50_A0A3S0T7H9
contig_1	cds	496207	497355	+	GCF_964030635_00636		DNA-binding response regulator	SO:0001217, UniRef:UniRef50_A0A433ETQ0
contig_1	cds	497365	497547	-	GCF_964030635_00637		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2K8NYQ1, UniRef:UniRef90_UPI0030CAC077
contig_1	cds	497823	497969	+	GCF_964030635_00638		hypothetical protein	
contig_1	cds	498186	498722	+	GCF_964030635_00639		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0020A0E2F4
contig_1	cds	498924	500861	+	GCF_964030635_00640	parE	DNA topoisomerase IV subunit B	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, SO:0001217, UniRef:UniRef50_A0A2K9LU95, UniRef:UniRef90_Q14N87
contig_1	cds	500873	501157	+	GCF_964030635_00641		hypothetical protein	
contig_1	cds	501782	504598	+	GCF_964030635_00642	parC	DNA topoisomerase IV subunit A	EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, SO:0001217, UniRef:UniRef50_R4U401, UniRef:UniRef90_UPI0030CDB0AE
